FUNDS_STI,TARGET_STI,AFRentCoverageRatio,AFRentMaxCollectionRate,atom_stis,fundGap,desiredCollection,floorSti,capacities,totalCapacity,maxCollectible,collectionBudget,atom_rents,ending_atom_stis,ending_FUNDS_STI
500.0,1000.0,1.2,0.25,80 100 200,500.0,600.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,535.0
500.0,1000.0,1.2,0.25,20 20 20,500.0,600.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,500.0
500.0,1000.0,1.2,0.5,20 100 200,500.0,600.0,20.0,0 80 180,260.0,130.0,130.0,0 40 90,20 60 110,630.0
500.0,1000.0,1.2,0.5,20 20 100,500.0,600.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,540.0
500.0,1000.0,1.2,0.5,80 100 200,500.0,600.0,80.0,0 20 120,140.0,70.0,70.0,0 10 60,80 90 140,570.0
500.0,1000.0,1.2,0.5,20 20 20,500.0,600.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,500.0
500.0,1000.0,1.2,1.0,20 100 200,500.0,600.0,20.0,0 80 180,260.0,260.0,260.0,0 80 180,20 20 20,760.0
500.0,1000.0,1.2,1.0,20 20 100,500.0,600.0,20.0,0 0 80,80.0,80.0,80.0,0 0 80,20 20 20,580.0
500.0,1000.0,1.2,1.0,80 100 200,500.0,600.0,80.0,0 20 120,140.0,140.0,140.0,0 20 120,80 80 80,640.0
500.0,1000.0,1.2,1.0,20 20 20,500.0,600.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,500.0
750.0,1000.0,0.5,0.1,20 100 200,250.0,125.0,20.0,0 80 180,260.0,26.0,26.0,0 8 18,20 92 182,776.0
750.0,1000.0,0.5,0.1,20 20 100,250.0,125.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,758.0
750.0,1000.0,0.5,0.1,80 100 200,250.0,125.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,764.0
750.0,1000.0,0.5,0.1,20 20 20,250.0,125.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,0.5,0.25,20 100 200,250.0,125.0,20.0,0 80 180,260.0,65.0,65.0,0 20 45,20 80 155,815.0
750.0,1000.0,0.5,0.25,20 20 100,250.0,125.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,770.0
750.0,1000.0,0.5,0.25,80 100 200,250.0,125.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,785.0
750.0,1000.0,0.5,0.25,20 20 20,250.0,125.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,0.5,0.5,20 100 200,250.0,125.0,20.0,0 80 180,260.0,130.0,125.0,0 38.4615 86.5385,20 61.5385 113.462,875.0
